17:42;Find contact;2
17:43;Find contact;Ivanov
17:43;Add contact;Ivanov
20:28;Add contact;('asd', 'ddd', 'fff', 'gg')
20:28;Find contact;asdfas
20:29;Find contact;va
20:30;Find contact;van
20:30;Add contact;('ada', 'fff', 'hhhh', 'kkk')
21:25;Find contact;iv
21:25;Find contact;ov
21:27;Add contact;('ddd', 'fff', 'hhh', '555')
21:29;Find contact;ov
21:32;Add contact;('jhjhjh', 'kjjkjk', 'kkk', 'lll')
21:47;Find contact;I
23:40;Find contact;ov
23:41;Find contact;ov
23:56;Find contact;ov
23:58;Find contact;ov
00:01;Find contact;ov
00:05;Find contact;ov
00:05;Find contact;ov
00:06;Find contact;ov
00:10;Find contact;ov
00:26;Find contact;ov
00:28;Find contact;ov
00:29;Find contact;ov
00:30;Find contact;ov
00:35;Find contact;ov
00:36;Find contact;ov
00:38;Find contact;ov
00:40;Find contact;ov
00:42;Find contact;ov
00:44;Find contact;ov
00:46;Find contact;ov
00:52;Find contact;ov
00:52;Find contact;ov
00:53;Find contact;ov
00:54;Find contact;ov
00:54;Find contact;ov
00:57;Find contact;ov
01:00;Find contact;ov
01:01;Find contact;ov
01:02;Find contact;ov
01:04;Find contact;ov
01:05;Find contact;ov
01:08;Find contact;ov
01:09;Find contact;ov
01:34;Find contact;ov
01:36;Find contact;ov
01:41;Find contact;ov
01:42;Find contact;ov
01:43;Find contact;ov
01:45;Find contact;ov
01:48;Find contact;ov
01:48;Find contact;ov
01:49;Find contact;ov
01:49;Find contact;ov
01:50;Find contact;iv
01:53;Find contact;r
01:54;Find contact; 
01:54;Find contact;q
01:55;Find contact;t
01:56;Find contact;o
01:58;Find contact;ov
02:02;Find contact;ov
02:03;Add contact;('Егоров', 'Дмитрий', '123-45-88', 'Домашний')
02:14;Add contact;('ooo', 'ppp', '123-99-99', 'home')
02:22;Add contact;('uuu', 'ppp', '9999888', 'kk')
02:24;Add contact;('111', '222', '333', '444')
02:27;Add contact;('111', '222', '123-88-99', 'unnmh')
02:30;Add contact;('rrr', 'iii', 'ppp', 'uuu')
02:31;Add contact;('222', '3333', '444', '555')
02:32;Add contact;('Egorov', 'Dmitriy', '123-55-67', 'Home')
02:34;Add contact;('111', '666', '888', '000')
02:35;Find contact;E
02:35;Find contact;E
02:38;Find contact;E
02:46;Find contact;i
02:47;Add contact;('Fedorov', 'Karl', '144-66-00', 'Work')
02:49;Find contact;F
02:50;Find contact;o
